parameter_id,parameter_name,display_name_cn,category,subcategory,value,unit,component_code,component_name,model_level,source_type,source_file,source_location,block_path_or_variable_name,default_value,override_value,final_runtime_value,override_chain,used_in_final_simulation,confidence,physical_meaning,notes
SC-009,dcdc_efficiency_charge,DC/DC充电效率,Energy Storage,Efficiency,0.96,1,L2_X100,车载再生储能,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.supercap.dcdc_efficiency_charge,*0.96 in L2_X100_behavior.m,0.96,0.96,0.96,Params_v2.json -> L2_X100_behavior.m(0.96),YES,medium,DC/DC converter charge efficiency,
SC-010,dcdc_efficiency_discharge,DC/DC放电效率,Energy Storage,Efficiency,0.95,1,L2_X100,车载再生储能,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.supercap.dcdc_efficiency_discharge,/0.95 in L2_X100_behavior.m,0.95,0.95,0.95,Params_v2.json -> L2_X100_behavior.m(0.95),YES,medium,DC/DC converter discharge efficiency,
SC-011,supercap_Emin_J,超级电容最小能量,Energy Storage,Energy,15000000,J,L2_X100,车载再生储能,L2,DERIVED,L2_X100_behavior.m,line 30,Emin=15000000,15000000,15000000,15000000,0.5*C*Vmin^2 = 0.5*120*500^2 -> runner SC_EMIN=15000000,YES,high,Derived from C and V_min,
SC-012,supercap_Emax_J,超级电容最大能量,Energy Storage,Energy,48600000,J,L2_X100,车载再生储能,L2,DERIVED,L2_X100_behavior.m,line 30,Emax=48600000,48600000,48600000,48600000,0.5*C*Vmax^2 = 0.5*120*900^2 -> runner SC_EMAX=48600000,YES,high,Derived from C and V_max,
SC-013,supercap_E_init_J,超级电容初始能量,Energy Storage,Initial,26760000,J,L2_X100,车载再生储能,L2,DERIVED,L2_X100_behavior.m,line 28,E=26760000,26760000,26760000,26760000,Emin + SOC_init*(Emax-Emin) = 15000000 + 0.35*33600000,YES,high,Initial energy from initial SOC,
SIM-001,start_time_s,仿真起始时间,Simulation,Timing,0,s,ALL,全系统,System,FMU_DEFAULT,modelDescription.xml,DefaultExperiment startTime=0,setupExperiment(startTime=0.0),0,0,0,FMU DefaultExperiment -> runner setupExperiment(startTime=0.0),YES,high,Simulation start time,
SIM-002,stop_time_s,仿真终止时间,Simulation,Timing,50,s,ALL,全系统,System,ENGINEERING_ASSUMPTION,modelDescription.xml / runner_v2.py,DefaultExperiment stopTime=50 / STOP=50.0,STOP=50.0,50,50,50,FMU DefaultExperiment(50) -> runner STOP=50.0,YES,high,Total simulation time,
SIM-003,internal_step_size_s,FMU内部步长,Simulation,Solver,0.01,s,ALL,全系统,L2,FMU_DEFAULT,modelDescription.xml,DefaultExperiment stepSize=0.01,FMU fixed step 0.01,0.01,0.01,0.01,Simulink export -> FMU DefaultExperiment stepSize=0.01,YES,high,Internal fixed step inside each FMU,
SIM-004,communication_step_s,通信步长,Simulation,Co-Sim,0.05,s,ALL,全系统,System,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json / runner_v2.py,default_communication_step_s=0.05 / dt=0.05,dt=0.05 in run_case(),0.1,0.05,0.05,v1 Params(0.1) -> v2 Params(0.05) -> runner_v2.py(main dt=0.05),YES,high,Communication step between FMU instances,"CONFLICT: v1 used 0.1s, v2/v2.1 uses 0.05s. Also sensitivity at 0.02 and 0.10"
SIM-005,co_sim_algorithm,联合仿真算法,Simulation,Co-Sim,Explicit Jacobi,,ALL,全系统,System,HARDCODED,runner_v2.py,main loop,explicit Jacobi co-simulation,Explicit Jacobi,Explicit Jacobi,Explicit Jacobi,runner_v1.py = runner_v2.py = Explicit Jacobi,YES,high,"All FMUs advanced one step in parallel, outputs transferred after",
SIM-006,fmu_count,FMU数量,Simulation,Architecture,16,,ALL,全系统,System,DESIGN,SSP/runner,16 components,16 FMU instances,16,16,16,SSD defines 16 components,YES,high,"L2_3100,3500,3600,3800,4100,4200,4400,4500,5100,5300,7100,7200,8100,D100,E100,X100",
SIM-007,connection_records,连接记录数,Simulation,Architecture,87,,ALL,全系统,System,DESIGN,Executable_FMU_Interface_v1.json,executable_signal_connections,"87 records, 77 unique",87,87,87,Implementation binding -> SSP -> runner,YES,high,"87 connection records, 77 unique causal paths",
SIM-008,sample_time_s,基础采样时间,Simulation,Solver,0.01,s,ALL,全系统,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.sample_time_s,P.sample_time_s,0.01,0.01,0.01,Params_v2.json(0.01) matches FMU stepSize(0.01),YES,high,Internal fixed step for Simulink models,"v1 Params had sample_time=0.1, v2 corrected to 0.01"
SCN-001,traction_phase_end_s,牵引阶段结束时刻,Scenario,Timing,20,s,L2_D100,驾驶设施,L2,HARDCODED,L2_D100_behavior.m,line 14,if time_s<20: traction,20,20,20,L2_D100_behavior.m,YES,high,Traction command ramp from 0 to 20s,
SCN-002,coast_phase_end_s,滑行阶段结束时刻,Scenario,Timing,30,s,L2_D100,驾驶设施,L2,HARDCODED,L2_D100_behavior.m,line 18,elseif time_s<30: coast,30,30,30,L2_D100_behavior.m,YES,high,Coast from 20s to 30s,
SCN-003,braking_phase_end_s,制动阶段结束时刻,Scenario,Timing,45,s,L2_D100,驾驶设施,L2,HARDCODED,L2_D100_behavior.m,line 22,elseif time_s<45: brake=1.0,45,45,45,L2_D100_behavior.m,YES,high,Full service brake from 30s to 45s,
SCN-004,traction_ramp_time_s,牵引力斜坡时间,Scenario,Profile,3,s,L2_D100,驾驶设施,L2,HARDCODED,L2_D100_behavior.m,line 15,"min(1.0,time_s/3.0)",3,3,3,L2_D100_behavior.m,YES,medium,Traction command reaches 1.0 at t=3s,
SCN-005,service_brake_request_braking,制动阶段制动请求,Scenario,Profile,1.0,m/s^2,L2_D100,驾驶设施,L2,HARDCODED,L2_D100_behavior.m,line 24,out_service_brake_request=1.0,1.0,1.0,1.0,L2_D100_behavior.m,YES,high,Service brake request = 1.0 m/s^2 during braking phase,
SCN-006,service_brake_request_hold,保持阶段制动请求,Scenario,Profile,0.3,m/s^2,L2_D100,驾驶设施,L2,HARDCODED,L2_D100_behavior.m,line 28,out_service_brake_request=0.3,0.3,0.3,0.3,L2_D100_behavior.m,YES,high,Service brake request = 0.3 m/s^2 during hold phase (t>=45s),
MIS-001,track_grade,线路坡度,External,Track,0,,NONE,,,NOT_FOUND,,,,,,IMPLICIT_DEFAULT = 0,,NO,MISSING,No grade/gradient defined anywhere. Effectively 0 (flat track).,
MIS-002,curve_radius,曲线半径,External,Track,NOT FOUND,m,NONE,,,NOT_FOUND,,,,,,NOT FOUND,,NO,MISSING,No curve radius defined. Model does not include curve resistance.,
MIS-003,adhesion_coefficient,黏着系数,External,Adhesion,NOT FOUND,,NONE,,,NOT_FOUND,,,,,,NOT FOUND,,NO,MISSING,No adhesion model (mu*mg constraint) in v2 system. SC_v1 had mu=0.20.,SC_v1 REFERENCE: SCv1.vehicle.mu=0.20
MIS-004,air_density_kg_m3,空气密度,External,Environment,NOT FOUND,kg/m^3,NONE,,,NOT_FOUND,,,,,,NOT FOUND,,NO,MISSING,No explicit air density. Aero drag folded into aero_torque_coefficient.,
MIS-005,wind_speed,风速,External,Environment,NOT FOUND,m/s,NONE,,,NOT_FOUND,,,,,,NOT FOUND,,NO,MISSING,No wind model defined.,
MIS-006,ambient_temperature,环境温度,External,Environment,NOT FOUND,degC,NONE,,,NOT_FOUND,,,,,,NOT FOUND,,NO,MISSING,No thermal model exists. THERMAL_MODEL_PARAMETERS = NOT FOUND,
MIS-007,frontal_area_m2,迎风面积,Vehicle,Aero,NOT FOUND,m^2,NONE,,,NOT_FOUND,,,,,,NOT FOUND,,NO,MISSING,"Aero resistance folded into torque-domain coefficient, no explicit area.",
MIS-008,load_case,载荷工况,Vehicle,Load,NOT EXPLICITLY DEFINED,,NONE,,,NOT_FOUND,,,,,,NOT EXPLICITLY DEFINED,,NO,MISSING,LOAD_CASE = NOT EXPLICITLY DEFINED. No AW0/AW1/AW2/AW3 defined.,
MIS-009,max_speed_mps,最高速度,Vehicle,Speed,NOT EXPLICITLY DEFINED,m/s,NONE,,,NOT_FOUND,,,,,,NOT EXPLICITLY DEFINED,,NO,MISSING,No explicit maximum speed. Peak speed determined by simulation dynamics.,
MIS-010,initial_speed_mps,初始速度,Vehicle,Speed,0,m/s,L2_3100,轮轴组成,L2,IMPLICIT_DEFAULT,L2_3100_behavior.m,line 15,omega_w=0,0,0,0,L2_3100_behavior.m persistent init -> FMU start,YES,high,IMPLICIT_DEFAULT: Initial wheel speed = 0,
MIS-011,grid_receptivity,电网回馈能力模型,External,Grid,NOT FOUND,,NONE,,,NOT_FOUND,,,,,,NOT FOUND,,NO,MISSING,GRID_RECEPTIVITY_MODEL = NOT FOUND. grid_regen_acceptance_W = 0 means no grid absorption.,
MIS-012,sensor_parameters,传感器参数,Sensor,All,NOT FOUND,,NONE,,,NOT_FOUND,,,,,,NOT FOUND,,NO,MISSING,"No explicit sensor models. All signals are ideal (no delay, noise, quantization).",
MIS-013,control_communication_delay,控制通信延迟,Control,Delay,NOT FOUND,s,NONE,,,NOT_FOUND,,,,,,NOT FOUND,,NO,MISSING,No explicit communication delay. Jacobi step introduces implicit 1-step delay.,
MIS-014,fault_protection_thresholds,故障保护阈值,Protection,All,MINIMAL,,L2_8100,列控,L2,HARDCODED,L2_8100_behavior.m,various,safety checks only,MINIMAL,MINIMAL,MINIMAL,"L2_8100 checks: traction_converter_fault==0, external_safety_state>0",YES,medium,"Only basic safety interlock, no over-voltage/current/temp protection",
SCv1-001,scv1_vehicle_mass,SC_v1车辆质量,SC_v1_Reference,Mass,295900,kg,SC_v1,SC_v1整车模型,L0,LEGACY,config/SC_v1_parameters.m,SCv1.vehicle.mass,SCv1.vehicle.mass,295900,295900,NOT USED in v2,"SC_v1_parameters.m (legacy gold model, not used in v2 simulation)",NO,high,Full-train mass in SC_v1,REFERENCE_ONLY: SC_v1 is a separate legacy model. v2 uses 80000 kg.
SCv1-002,scv1_dc_source_voltage,SC_v1 DC源电压,SC_v1_Reference,Voltage,1500,V,SC_v1,SC_v1整车模型,L0,LEGACY,config/SC_v1_parameters.m,SCv1.dc.Vsource,SCv1.dc.Vsource,1500,1500,NOT USED in v2,"SC_v1_parameters.m (legacy, different architecture: DC 1500V vs AC 25kV)",NO,high,DC catenary voltage in SC_v1,"REFERENCE_ONLY: SC_v1 uses DC 1500V supply, v2 uses AC 25kV"
SCv1-003,scv1_supercap_C,SC_v1超级电容,SC_v1_Reference,Capacitance,200,F,SC_v1,SC_v1整车模型,L0,LEGACY,config/SC_v1_parameters.m,SCv1.supercap.C,SCv1.supercap.C,200,200,NOT USED in v2,SC_v1_parameters.m (legacy),NO,high,SC_v1 uses 200F vs v2 120F,
