binding_id,ssd_component_id,ssd_component_name,l2_code,l2_name,ssd_connector_name,ssd_connector_id,direction,data_type,unit,quantity,item_type,item_code,item_name,item_name_en,item_unit_or_medium,interface_type,original_sysml_path,original_product_code,original_product_name,original_port_name,original_port_id,source_connection_ids,simulink_model,simulink_port_name,simulink_port_type,future_fmu_file,future_fmu_variable,future_fmu_causality,future_fmu_variability,alias_reason,legacy_match,legacy_conflict_fields,review_flags,binding_status,notes
BIND::L2_4500::p_4511_rp_c782fb362436088e,L2_4500,L2_4500,4500,主变压器及其冷却,p_4511_rp_c782fb362436088e,L2_4500.p_4511_rp_c782fb362436088e,input,Real,[-],HighVoltageACElectricalEnergy,PhysicalConnector,ITM-PHY-001,高压交流电能,HighVoltageACElectricalEnergy,高压交流电气,IF_IF_PHY_001,p_N_4000.p_N_4500.p_N_4510.p_N_4511.rp_c782fb362436088e,4511,主变压器主体,高压交流电能端口,PORT::4511::高压交流电能端口::ITM-PHY-001::双向物理,CG_B483D5C4E4EC5F805E3B0F19,L2_4500.slx,p_4511_rp_c782fb362436088e,Inport,L2_4500.fmu,p_4511_rp_c782fb362436088e,input,continuous,,AMBIGUOUS,,SEMANTIC_REVIEW_REQUIRED,SEMANTIC_REVIEW_REQUIRED,Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 高压交流电气
BIND::L2_4500::p_4513_rp_f597e9dc63931270,L2_4500,L2_4500,4500,主变压器及其冷却,p_4513_rp_f597e9dc63931270,L2_4500.p_4513_rp_f597e9dc63931270,output,Real,[-],TractionTransformerSecondaryACEnergy,PhysicalConnector,ITM-PHY-014,牵引变压器次级交流电能,TractionTransformerSecondaryACEnergy,交流电气,IF_IF_PHY_014,p_N_4000.p_N_4500.p_N_4510.p_N_4513.rp_f597e9dc63931270,4513,电抗器,第二交流电能端口,PORT::4513::第二交流电能端口::ITM-PHY-014::双向物理,CG_117A3F0E6C8FF8FF0013A46B | CG_118F2C2B84D1D301C7BE63F8,L2_4500.slx,p_4513_rp_f597e9dc63931270,Outport,L2_4500.fmu,p_4513_rp_f597e9dc63931270,output,continuous,,AMBIGUOUS,,SEMANTIC_REVIEW_REQUIRED,SEMANTIC_REVIEW_REQUIRED,Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 交流电气
BIND::L2_4500::p_4517_rp_b93b1716e8b4e844,L2_4500,L2_4500,4500,主变压器及其冷却,p_4517_rp_b93b1716e8b4e844,L2_4500.p_4517_rp_b93b1716e8b4e844,output,Real,[-],HVSystemFault,Enum/Bitset,ITM-STA-016,高压系统故障状态,HVSystemFault,无,IF_IF_STA_016,p_N_4000.p_N_4500.p_N_4510.p_N_4517.rp_b93b1716e8b4e844,4517,主变压器检测及保护元件,高压系统故障状态输出,PORT::4517::高压系统故障状态输出::ITM-STA-016::输出,CG_2274BA128E639FDE4D4F56EC,L2_4500.slx,p_4517_rp_b93b1716e8b4e844,Outport,L2_4500.fmu,p_4517_rp_b93b1716e8b4e844,output,continuous,,CONFLICT,data_type,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: data_type. SSD values were retained. | Full SysML item datatype Enum/Bitset requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 无
BIND::L2_4500::p_4518_rp_67eef246e016ac82,L2_4500,L2_4500,4500,主变压器及其冷却,p_4518_rp_67eef246e016ac82,L2_4500.p_4518_rp_67eef246e016ac82,input,Real,[-],HVBreakerState,Enum,ITM-STA-013,高压断路器状态,HVBreakerState,无,IF_IF_STA_013,p_N_4000.p_N_4500.p_N_4510.p_N_4518.rp_67eef246e016ac82,4518,主变压器控制装置,高压断路器状态输入,PORT::4518::高压断路器状态输入::ITM-STA-013::输入,CG_37792F42F4274C7C51C63270,L2_4500.slx,p_4518_rp_67eef246e016ac82,Inport,L2_4500.fmu,p_4518_rp_67eef246e016ac82,input,continuous,,CONFLICT,data_type,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: data_type. SSD values were retained. | Full SysML item datatype Enum requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 无
BIND::L2_4500::p_4518_rp_a87c9390595138d6,L2_4500,L2_4500,4500,主变压器及其冷却,p_4518_rp_a87c9390595138d6,L2_4500.p_4518_rp_a87c9390595138d6,input,Real,[-],HVSystemFault,Enum/Bitset,ITM-STA-016,高压系统故障状态,HVSystemFault,无,IF_IF_STA_016,p_N_4000.p_N_4500.p_N_4510.p_N_4518.rp_a87c9390595138d6,4518,主变压器控制装置,高压系统故障状态输入,PORT::4518::高压系统故障状态输入::ITM-STA-016::输入,CG_CE2820923CC0CB141833E11D,L2_4500.slx,p_4518_rp_a87c9390595138d6,Inport,L2_4500.fmu,p_4518_rp_a87c9390595138d6,input,continuous,,CONFLICT,data_type,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: data_type. SSD values were retained. | Full SysML item datatype Enum/Bitset requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 无
BIND::L2_5100::p_5111_rp_5f90d6dd8fba4321,L2_5100,L2_5100,5100,牵引变流器主体及其控制,p_5111_rp_5f90d6dd8fba4321,L2_5100.p_5111_rp_5f90d6dd8fba4321,input,Real,[-],LineVoltage,Real,ITM-MEA-005,高压线路电压,LineVoltage,V,IF_IF_MEA_005,p_N_5000.p_N_5100.p_N_5110.p_N_5111.rp_5f90d6dd8fba4321,5111,网侧变流器控制模块,高压线路电压输入,PORT::5111::高压线路电压输入::ITM-MEA-005::输入,CG_002543DBE0F9A7FBC2A3FDD3,L2_5100.slx,p_5111_rp_5f90d6dd8fba4321,Inport,L2_5100.fmu,p_5111_rp_5f90d6dd8fba4321,input,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium V
BIND::L2_5100::p_5111_rp_651700e69b7dccba,L2_5100,L2_5100,5100,牵引变流器主体及其控制,p_5111_rp_651700e69b7dccba,L2_5100.p_5111_rp_651700e69b7dccba,input,Real,[-],LineCurrent,Real,ITM-MEA-006,高压线路电流,LineCurrent,A,IF_IF_MEA_006,p_N_5000.p_N_5100.p_N_5110.p_N_5111.rp_651700e69b7dccba,5111,网侧变流器控制模块,高压线路电流输入,PORT::5111::高压线路电流输入::ITM-MEA-006::输入,CG_20C0A22ECCF07864FDBA3F5A,L2_5100.slx,p_5111_rp_651700e69b7dccba,Inport,L2_5100.fmu,p_5111_rp_651700e69b7dccba,input,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium A
BIND::L2_5100::p_5111_rp_cd7720cf9a4eae22,L2_5100,L2_5100,5100,牵引变流器主体及其控制,p_5111_rp_cd7720cf9a4eae22,L2_5100.p_5111_rp_cd7720cf9a4eae22,output,Real,[-],GridAcceptableRegenerativePower,Real,ITM-LIM-005,接触网可接收功率,GridAcceptableRegenerativePower,W,IF_IF_LIM_005,p_N_5000.p_N_5100.p_N_5110.p_N_5111.rp_cd7720cf9a4eae22,5111,网侧变流器控制模块,接触网可接收功率输出,PORT::5111::接触网可接收功率输出::ITM-LIM-005::输出,CG_08375F15DCE75E45D4C45CE8 | CG_BDD8747118488C9BE895D95F,L2_5100.slx,p_5111_rp_cd7720cf9a4eae22,Outport,L2_5100.fmu,p_5111_rp_cd7720cf9a4eae22,output,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium W
BIND::L2_5100::p_5112_rp_21e86fb073b61523,L2_5100,L2_5100,5100,牵引变流器主体及其控制,p_5112_rp_21e86fb073b61523,L2_5100.p_5112_rp_21e86fb073b61523,input,Real,[-],MotorPhaseVoltage,Real/Vector,ITM-MEA-011,电机侧相电压,MotorPhaseVoltage,V,IF_IF_MEA_011,p_N_5000.p_N_5100.p_N_5110.p_N_5112.rp_21e86fb073b61523,5112,电机侧变流器控制模块,电机侧相电压输入,PORT::5112::电机侧相电压输入::ITM-MEA-011::输入,CG_37ECA5B04E215AC3E6A4B472,L2_5100.slx,p_5112_rp_21e86fb073b61523,Inport,L2_5100.fmu,p_5112_rp_21e86fb073b61523,input,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | Full SysML item datatype Real/Vector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium V
BIND::L2_5100::p_5112_rp_4557e9b0656c46f5,L2_5100,L2_5100,5100,牵引变流器主体及其控制,p_5112_rp_4557e9b0656c46f5,L2_5100.p_5112_rp_4557e9b0656c46f5,input,Real,[-],MotorTorqueActual,Real,ITM-MEA-012,牵引电机实际转矩,MotorTorqueActual,N·m,IF_IF_MEA_012,p_N_5000.p_N_5100.p_N_5110.p_N_5112.rp_4557e9b0656c46f5,5112,电机侧变流器控制模块,牵引电机实际转矩输入,PORT::5112::牵引电机实际转矩输入::ITM-MEA-012::输入,CG_D4DF5719633CB5B375F35094,L2_5100.slx,p_5112_rp_4557e9b0656c46f5,Inport,L2_5100.fmu,p_5112_rp_4557e9b0656c46f5,input,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium N·m
BIND::L2_5100::p_5112_rp_6ce5fb5c81d47ab4,L2_5100,L2_5100,5100,牵引变流器主体及其控制,p_5112_rp_6ce5fb5c81d47ab4,L2_5100.p_5112_rp_6ce5fb5c81d47ab4,input,Real,[-],MotorTorqueRequest,Real,ITM-CMD-012,牵引电机转矩请求,MotorTorqueRequest,N·m,IF_IF_CMD_012,p_N_5000.p_N_5100.p_N_5110.p_N_5112.rp_6ce5fb5c81d47ab4,5112,电机侧变流器控制模块,牵引电机转矩请求输入,PORT::5112::牵引电机转矩请求输入::ITM-CMD-012::输入,CG_7365C853DD9391D9914E0C8A,L2_5100.slx,p_5112_rp_6ce5fb5c81d47ab4,Inport,L2_5100.fmu,p_5112_rp_6ce5fb5c81d47ab4,input,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium N·m
BIND::L2_5100::p_5112_rp_780596fabcc73a0f,L2_5100,L2_5100,5100,牵引变流器主体及其控制,p_5112_rp_780596fabcc73a0f,L2_5100.p_5112_rp_780596fabcc73a0f,input,Real,[-],MotorSpeed,Real,ITM-MEA-004,牵引电机转速,MotorSpeed,rad/s,IF_IF_MEA_004,p_N_5000.p_N_5100.p_N_5110.p_N_5112.rp_780596fabcc73a0f,5112,电机侧变流器控制模块,牵引电机转速输入,PORT::5112::牵引电机转速输入::ITM-MEA-004::输入,CG_46A1EE350324445D016EAF45,L2_5100.slx,p_5112_rp_780596fabcc73a0f,Inport,L2_5100.fmu,p_5112_rp_780596fabcc73a0f,input,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium rad/s
BIND::L2_5100::p_5113_rp_d93ff3dea2be11bd,L2_5100,L2_5100,5100,牵引变流器主体及其控制,p_5113_rp_d93ff3dea2be11bd,L2_5100.p_5113_rp_d93ff3dea2be11bd,output,Real,[-],TractionConverterFault,Enum/Bitset,ITM-STA-019,牵引变流器故障状态,TractionConverterFault,无,IF_IF_STA_019,p_N_5000.p_N_5100.p_N_5110.p_N_5113.rp_d93ff3dea2be11bd,5113,变流器检测保护组件,牵引变流器故障状态输出,PORT::5113::牵引变流器故障状态输出::ITM-STA-019::输出,CG_55513667B46680F5B87A0939,L2_5100.slx,p_5113_rp_d93ff3dea2be11bd,Outport,L2_5100.fmu,p_5113_rp_d93ff3dea2be11bd,output,continuous,,CONFLICT,data_type,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: data_type. SSD values were retained. | Full SysML item datatype Enum/Bitset requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 无
BIND::L2_5100::p_5121_rp_9dedfe88c8a34261,L2_5100,L2_5100,5100,牵引变流器主体及其控制,p_5121_rp_9dedfe88c8a34261,L2_5100.p_5121_rp_9dedfe88c8a34261,input,Real,[-],TractionTransformerSecondaryACEnergy,PhysicalConnector,ITM-PHY-014,牵引变压器次级交流电能,TractionTransformerSecondaryACEnergy,交流电气,IF_IF_PHY_014,p_N_5000.p_N_5100.p_N_5120.p_N_5121.rp_9dedfe88c8a34261,5121,预充电组件,牵引变压器次级交流电能端口,PORT::5121::牵引变压器次级交流电能端口::ITM-PHY-014::双向物理,CG_118F2C2B84D1D301C7BE63F8,L2_5100.slx,p_5121_rp_9dedfe88c8a34261,Inport,L2_5100.fmu,p_5121_rp_9dedfe88c8a34261,input,continuous,,AMBIGUOUS,,SEMANTIC_REVIEW_REQUIRED,SEMANTIC_REVIEW_REQUIRED,Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 交流电气
BIND::L2_5100::p_5122_rp_0b57347688ba1240,L2_5100,L2_5100,5100,牵引变流器主体及其控制,p_5122_rp_0b57347688ba1240,L2_5100.p_5122_rp_0b57347688ba1240,input,Real,[-],TractionTransformerSecondaryACEnergy,PhysicalConnector,ITM-PHY-014,牵引变压器次级交流电能,TractionTransformerSecondaryACEnergy,交流电气,IF_IF_PHY_014,p_N_5000.p_N_5100.p_N_5120.p_N_5122.rp_0b57347688ba1240,5122,输入组件,牵引变压器次级交流电能端口,PORT::5122::牵引变压器次级交流电能端口::ITM-PHY-014::双向物理,CG_117A3F0E6C8FF8FF0013A46B,L2_5100.slx,p_5122_rp_0b57347688ba1240,Inport,L2_5100.fmu,p_5122_rp_0b57347688ba1240,input,continuous,,AMBIGUOUS,,SEMANTIC_REVIEW_REQUIRED,SEMANTIC_REVIEW_REQUIRED,Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 交流电气
BIND::L2_5100::p_5131_rp_95979f7c6bb276e7,L2_5100,L2_5100,5100,牵引变流器主体及其控制,p_5131_rp_95979f7c6bb276e7,L2_5100.p_5131_rp_95979f7c6bb276e7,output,Real,[-],GridReturnedPower,Real,ITM-ACC-003,回馈电网功率,GridReturnedPower,W,IF_IF_ACC_003,p_N_5000.p_N_5100.p_N_5130.p_N_5131.rp_95979f7c6bb276e7,5131,网侧变流模块,回馈电网功率输出,PORT::5131::回馈电网功率输出::ITM-ACC-003::输出,CG_B399D92EE15558C08A95FA03,L2_5100.slx,p_5131_rp_95979f7c6bb276e7,Outport,L2_5100.fmu,p_5131_rp_95979f7c6bb276e7,output,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium W
BIND::L2_5100::p_5132_rp_75d86c9dc39b94b8,L2_5100,L2_5100,5100,牵引变流器主体及其控制,p_5132_rp_75d86c9dc39b94b8,L2_5100.p_5132_rp_75d86c9dc39b94b8,output,Real,[-],RegenerativePowerActual,Real,ITM-ACC-002,实际再生功率,RegenerativePowerActual,W,IF_IF_ACC_002,p_N_5000.p_N_5100.p_N_5130.p_N_5132.rp_75d86c9dc39b94b8,5132,电机侧变流模块,实际再生功率输出,PORT::5132::实际再生功率输出::ITM-ACC-002::输出,CG_40ADD911FF2840BEEAA67F8D,L2_5100.slx,p_5132_rp_75d86c9dc39b94b8,Outport,L2_5100.fmu,p_5132_rp_75d86c9dc39b94b8,output,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium W
BIND::L2_5100::p_5132_rp_770f7e1c507cc073,L2_5100,L2_5100,5100,牵引变流器主体及其控制,p_5132_rp_770f7e1c507cc073,L2_5100.p_5132_rp_770f7e1c507cc073,output,Real,[-],ThreePhaseACElectricalEnergy,PhysicalConnector,ITM-PHY-004,三相交流电能,ThreePhaseACElectricalEnergy,三相交流电气,IF_IF_PHY_004,p_N_5000.p_N_5100.p_N_5130.p_N_5132.rp_770f7e1c507cc073,5132,电机侧变流模块,三相交流电能端口,PORT::5132::三相交流电能端口::ITM-PHY-004::双向物理,CG_3BD24EBE88F37EEFFE563597,L2_5100.slx,p_5132_rp_770f7e1c507cc073,Outport,L2_5100.fmu,p_5132_rp_770f7e1c507cc073,output,continuous,,AMBIGUOUS,,SEMANTIC_REVIEW_REQUIRED,SEMANTIC_REVIEW_REQUIRED,Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 三相交流电气
BIND::L2_5100::p_5142_rp_ff09931c451e831b,L2_5100,L2_5100,5100,牵引变流器主体及其控制,p_5142_rp_ff09931c451e831b,L2_5100.p_5142_rp_ff09931c451e831b,output,Real,[-],BrakeResistorDissipatedPower,Real,ITM-ACC-005,制动电阻耗散功率,BrakeResistorDissipatedPower,W,IF_IF_ACC_005,p_N_5000.p_N_5100.p_N_5140.p_N_5142.rp_ff09931c451e831b,5142,放电电阻器,制动电阻耗散功率输出,PORT::5142::制动电阻耗散功率输出::ITM-ACC-005::输出,CG_A35E2178763C6233BE73AA36,L2_5100.slx,p_5142_rp_ff09931c451e831b,Outport,L2_5100.fmu,p_5142_rp_ff09931c451e831b,output,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium W
BIND::L2_5100::p_5145_rp_1680714c67f7d311,L2_5100,L2_5100,5100,牵引变流器主体及其控制,p_5145_rp_1680714c67f7d311,L2_5100.p_5145_rp_1680714c67f7d311,output,Real,[-],DCLinkVoltage,Real,ITM-MEA-008,中间直流母线电压,DCLinkVoltage,V,IF_IF_MEA_008,p_N_5000.p_N_5100.p_N_5140.p_N_5145.rp_1680714c67f7d311,5145,中间直流环节检测保护组件,中间直流母线电压输出,PORT::5145::中间直流母线电压输出::ITM-MEA-008::输出,CG_732BB9F5922B7AC9420BB2D0 | CG_A424455519797490E4F865AA | CG_C8FE042475056BF85CFA2B40,L2_5100.slx,p_5145_rp_1680714c67f7d311,Outport,L2_5100.fmu,p_5145_rp_1680714c67f7d311,output,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium V
BIND::L2_5100::p_5145_rp_a9cc4822e30a5ede,L2_5100,L2_5100,5100,牵引变流器主体及其控制,p_5145_rp_a9cc4822e30a5ede,L2_5100.p_5145_rp_a9cc4822e30a5ede,output,Real,[-],DCLinkCurrent,Real,ITM-MEA-009,中间直流母线电流,DCLinkCurrent,A,IF_IF_MEA_009,p_N_5000.p_N_5100.p_N_5140.p_N_5145.rp_a9cc4822e30a5ede,5145,中间直流环节检测保护组件,中间直流母线电流输出,PORT::5145::中间直流母线电流输出::ITM-MEA-009::输出,CG_4E4C49F08CEE642A5C3C67EB,L2_5100.slx,p_5145_rp_a9cc4822e30a5ede,Outport,L2_5100.fmu,p_5145_rp_a9cc4822e30a5ede,output,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium A
BIND::L2_5300::p_5311_rp_10bb4c4f0063bc18,L2_5300,L2_5300,5300,牵引电机及其冷却,p_5311_rp_10bb4c4f0063bc18,L2_5300.p_5311_rp_10bb4c4f0063bc18,output,Real,[-],MotorTorqueActual,Real,ITM-MEA-012,牵引电机实际转矩,MotorTorqueActual,N·m,IF_IF_MEA_012,p_N_5000.p_N_5300.p_N_5310.p_N_5311.rp_10bb4c4f0063bc18,5311,牵引电机,牵引电机实际转矩输出,PORT::5311::牵引电机实际转矩输出::ITM-MEA-012::输出,CG_65E377DBF988541FA5778D1E | CG_D4DF5719633CB5B375F35094,L2_5300.slx,p_5311_rp_10bb4c4f0063bc18,Outport,L2_5300.fmu,p_5311_rp_10bb4c4f0063bc18,output,continuous,,AMBIGUOUS,,SEMANTIC_REVIEW_REQUIRED,SEMANTIC_REVIEW_REQUIRED,SSD unit [-] does not encode Full SysML unit/medium N·m
BIND::L2_5300::p_5311_rp_537e9856bafa2a02,L2_5300,L2_5300,5300,牵引电机及其冷却,p_5311_rp_537e9856bafa2a02,L2_5300.p_5311_rp_537e9856bafa2a02,output,Real,[-],MotorPhaseVoltage,Real/Vector,ITM-MEA-011,电机侧相电压,MotorPhaseVoltage,V,IF_IF_MEA_011,p_N_5000.p_N_5300.p_N_5310.p_N_5311.rp_537e9856bafa2a02,5311,牵引电机,电机侧相电压输出,PORT::5311::电机侧相电压输出::ITM-MEA-011::输出,CG_37ECA5B04E215AC3E6A4B472,L2_5300.slx,p_5311_rp_537e9856bafa2a02,Outport,L2_5300.fmu,p_5311_rp_537e9856bafa2a02,output,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | Full SysML item datatype Real/Vector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium V
BIND::L2_5300::p_5311_rp_57f3c317ac0c860d,L2_5300,L2_5300,5300,牵引电机及其冷却,p_5311_rp_57f3c317ac0c860d,L2_5300.p_5311_rp_57f3c317ac0c860d,input,Real,[-],ThreePhaseACElectricalEnergy,PhysicalConnector,ITM-PHY-004,三相交流电能,ThreePhaseACElectricalEnergy,三相交流电气,IF_IF_PHY_004,p_N_5000.p_N_5300.p_N_5310.p_N_5311.rp_57f3c317ac0c860d,5311,牵引电机,三相交流电能端口,PORT::5311::三相交流电能端口::ITM-PHY-004::双向物理,CG_3BD24EBE88F37EEFFE563597,L2_5300.slx,p_5311_rp_57f3c317ac0c860d,Inport,L2_5300.fmu,p_5311_rp_57f3c317ac0c860d,input,continuous,,AMBIGUOUS,,SEMANTIC_REVIEW_REQUIRED,SEMANTIC_REVIEW_REQUIRED,Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 三相交流电气
BIND::L2_5300::p_5311_rp_79c695a1342df24f,L2_5300,L2_5300,5300,牵引电机及其冷却,p_5311_rp_79c695a1342df24f,L2_5300.p_5311_rp_79c695a1342df24f,output,Real,[-],MotorSpeed,Real,ITM-MEA-004,牵引电机转速,MotorSpeed,rad/s,IF_IF_MEA_004,p_N_5000.p_N_5300.p_N_5310.p_N_5311.rp_79c695a1342df24f,5311,牵引电机,牵引电机转速输出,PORT::5311::牵引电机转速输出::ITM-MEA-004::输出,CG_46A1EE350324445D016EAF45,L2_5300.slx,p_5311_rp_79c695a1342df24f,Outport,L2_5300.fmu,p_5311_rp_79c695a1342df24f,output,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium rad/s
BIND::L2_5300::p_5311_rp_97eb613c06ae1b2e,L2_5300,L2_5300,5300,牵引电机及其冷却,p_5311_rp_97eb613c06ae1b2e,L2_5300.p_5311_rp_97eb613c06ae1b2e,output,Real,[-],RotationalMechanicalEnergy,PhysicalConnector,ITM-PHY-005,旋转机械能,RotationalMechanicalEnergy,旋转机械,IF_IF_PHY_005,p_N_5000.p_N_5300.p_N_5310.p_N_5311.rp_97eb613c06ae1b2e,5311,牵引电机,旋转机械能端口,PORT::5311::旋转机械能端口::ITM-PHY-005::双向物理,CG_07AF42BFA3927EF22F7BDDE7 | CG_338D68ABEF709ACD5E0DDCC6,L2_5300.slx,p_5311_rp_97eb613c06ae1b2e,Outport,L2_5300.fmu,p_5311_rp_97eb613c06ae1b2e,output,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 旋转机械
BIND::L2_7100::p_7142_rp_52f3b82b80918b84,L2_7100,L2_7100,7100,供风,p_7142_rp_52f3b82b80918b84,L2_7100.p_7142_rp_52f3b82b80918b84,output,Real,[-],MainReservoirPressure,Real,ITM-MEA-014,总风管压力,MainReservoirPressure,Pa,IF_IF_MEA_014,p_N_7000.p_N_7100.p_N_7140.p_N_7142.rp_52f3b82b80918b84,7142,总风管压力传感器,总风管压力输出,PORT::7142::总风管压力输出::ITM-MEA-014::输出,CG_739E53DD845C8CD2646C8E39,L2_7100.slx,p_7142_rp_52f3b82b80918b84,Outport,L2_7100.fmu,p_7142_rp_52f3b82b80918b84,output,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium Pa
