executable_variable_id,ssd_component,source_ssd_connectors,variable_name,engineering_meaning,quantity,unit,datatype,fmi_causality,fmi_variability,simulink_port_type,source_of_semantics,source_of_unit,source_of_causality,confidence,assumption,legacy_contract_ids,structural_connection_ids,binding_rule_ids,resolution_status
EV::L2_5100::in_line_voltage,L2_5100,L2_5100.p_5111_rp_5f90d6dd8fba4321,in_line_voltage,受流/高压测量通道得到的线路电压。,line_voltage,V,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0006,CG_002543DBE0F9A7FBC2A3FDD3,BR-SIG-001,RESOLVED
EV::L2_5100::in_motor_phase_voltage,L2_5100,L2_5100.p_5112_rp_21e86fb073b61523,in_motor_phase_voltage,电机侧变流器/牵引电机的三相电压测量。,motor_phase_voltage,V,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"Legacy Mapping_Status=REVIEW_REQUIRED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0020,CG_37ECA5B04E215AC3E6A4B472,BR-SIG-001,RESOLVED
EV::L2_5100::in_motor_speed,L2_5100,L2_5100.p_5112_rp_780596fabcc73a0f,in_motor_speed,牵引电机速度传感器或电机控制估算的电机机械角速度。,motor_speed,rad/s,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0019,CG_46A1EE350324445D016EAF45,BR-SIG-001,RESOLVED
EV::L2_5100::in_motor_torque_actual,L2_5100,L2_5100.p_5112_rp_4557e9b0656c46f5,in_motor_torque_actual,电机控制估算或测量的实际电磁转矩。,motor_torque_actual,N*m,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0021,CG_D4DF5719633CB5B375F35094,BR-SIG-001,RESOLVED
EV::L2_5100::in_motor_torque_request,L2_5100,L2_5100.p_5112_rp_6ce5fb5c81d47ab4,in_motor_torque_request,牵引控制向电机控制通道给出的目标电磁转矩;再生制动时符号表示制动方向。,motor_torque_request,N*m,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0029,CG_7365C853DD9391D9914E0C8A,BR-SIG-001,RESOLVED
EV::L2_5100::out_I_sec_rms,L2_5100,L2_5100.p_5121_rp_9dedfe88c8a34261 | L2_5100.p_5122_rp_0b57347688ba1240,out_I_sec_rms,Secondary current/load flow.,I_sec_rms,A,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0080,CG_117A3F0E6C8FF8FF0013A46B | CG_118F2C2B84D1D301C7BE63F8,BR-PHY-014-ACSEC,RESOLVED
EV::L2_5100::out_U_motor_ll_rms,L2_5100,L2_5100.p_5132_rp_770f7e1c507cc073,out_U_motor_ll_rms,Motor-side line-line RMS voltage equivalent.,U_motor_ll_rms,V,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0081,CG_3BD24EBE88F37EEFFE563597,BR-PHY-004-3PH,RESOLVED
EV::L2_5100::out_brake_resistor_dissipated_power,L2_5100,L2_5100.p_5142_rp_ff09931c451e831b,out_brake_resistor_dissipated_power,制动电阻实际耗散功率。,brake_resistor_dissipated_power,W,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0014,CG_A35E2178763C6233BE73AA36,BR-SIG-001,RESOLVED
EV::L2_5100::out_dc_link_current,L2_5100,L2_5100.p_5145_rp_a9cc4822e30a5ede,out_dc_link_current,中间直流环节电流或等效净电流。,dc_link_current,A,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0017,CG_4E4C49F08CEE642A5C3C67EB,BR-SIG-001,RESOLVED
EV::L2_5100::out_dc_link_voltage,L2_5100,L2_5100.p_5145_rp_1680714c67f7d311,out_dc_link_voltage,牵引变流器中间直流环节的电压。,dc_link_voltage,V,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0016,CG_732BB9F5922B7AC9420BB2D0 | CG_A424455519797490E4F865AA | CG_C8FE042475056BF85CFA2B40,BR-SIG-001,RESOLVED
EV::L2_5100::out_f_motor_e,L2_5100,L2_5100.p_5132_rp_770f7e1c507cc073,out_f_motor_e,Motor-side electrical fundamental frequency.,f_motor_e,Hz,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0082,CG_3BD24EBE88F37EEFFE563597,BR-PHY-004-3PH,RESOLVED
EV::L2_5100::out_grid_acceptable_regenerative_power,L2_5100,L2_5100.p_5111_rp_cd7720cf9a4eae22,out_grid_acceptable_regenerative_power,外部供电网络在当前状态下允许车辆回馈的最大再生功率。,grid_acceptable_regenerative_power,W,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0015,CG_08375F15DCE75E45D4C45CE8 | CG_BDD8747118488C9BE895D95F,BR-SIG-001,RESOLVED
EV::L2_5100::out_grid_returned_power,L2_5100,L2_5100.p_5131_rp_95979f7c6bb276e7,out_grid_returned_power,实际回馈至外部供电网络的电功率。,grid_returned_power,W,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0013,CG_B399D92EE15558C08A95FA03,BR-SIG-001,RESOLVED
EV::L2_5100::out_regenerative_power_actual,L2_5100,L2_5100.p_5132_rp_75d86c9dc39b94b8,out_regenerative_power_actual,制动过程中牵引电机/变流器实际产生的再生电功率。,regenerative_power_actual,W,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0012,CG_40ADD911FF2840BEEAA67F8D,BR-SIG-001,RESOLVED
EV::L2_5100::out_traction_converter_fault,L2_5100,L2_5100.p_5113_rp_d93ff3dea2be11bd,out_traction_converter_fault,牵引变流器保护/故障集合。,traction_converter_fault,1,Int32,output,discrete,Outport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,"Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1. | Legacy Mapping_Status=REVIEW_REQUIRED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0018,CG_55513667B46680F5B87A0939,BR-SIG-001,RESOLVED
EV::L2_5300::in_U_motor_ll_rms,L2_5300,L2_5300.p_5311_rp_57f3c317ac0c860d,in_U_motor_ll_rms,Motor-side line-line RMS voltage equivalent.,U_motor_ll_rms,V,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0081,CG_3BD24EBE88F37EEFFE563597,BR-PHY-004-3PH,RESOLVED
EV::L2_5300::in_f_motor_e,L2_5300,L2_5300.p_5311_rp_57f3c317ac0c860d,in_f_motor_e,Motor-side electrical fundamental frequency.,f_motor_e,Hz,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0082,CG_3BD24EBE88F37EEFFE563597,BR-PHY-004-3PH,RESOLVED
EV::L2_5300::in_omega_shaft,L2_5300,L2_5300.p_5311_rp_97eb613c06ae1b2e,in_omega_shaft,Shaft angular-speed feedback variable.,omega_shaft,rad/s,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0087,CG_338D68ABEF709ACD5E0DDCC6,BR-PHY-005-SERIES,RESOLVED
EV::L2_5300::out_I_motor_rms,L2_5300,L2_5300.p_5311_rp_57f3c317ac0c860d,out_I_motor_rms,Motor RMS current feedback/load flow.,I_motor_rms,A,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0083,CG_3BD24EBE88F37EEFFE563597,BR-PHY-004-3PH,RESOLVED
EV::L2_5300::out_T_shaft,L2_5300,L2_5300.p_5311_rp_97eb613c06ae1b2e,out_T_shaft,Shaft torque effort variable.,T_shaft,N*m,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0086,CG_338D68ABEF709ACD5E0DDCC6,BR-PHY-005-SERIES,RESOLVED
EV::L2_5300::out_motor_phase_voltage,L2_5300,L2_5300.p_5311_rp_537e9856bafa2a02,out_motor_phase_voltage,电机侧变流器/牵引电机的三相电压测量。,motor_phase_voltage,V,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"Legacy Mapping_Status=REVIEW_REQUIRED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0020,CG_37ECA5B04E215AC3E6A4B472,BR-SIG-001,RESOLVED
EV::L2_5300::out_motor_speed,L2_5300,L2_5300.p_5311_rp_79c695a1342df24f,out_motor_speed,牵引电机速度传感器或电机控制估算的电机机械角速度。,motor_speed,rad/s,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0019,CG_46A1EE350324445D016EAF45,BR-SIG-001,RESOLVED
EV::L2_5300::out_motor_torque_actual,L2_5300,L2_5300.p_5311_rp_10bb4c4f0063bc18,out_motor_torque_actual,电机控制估算或测量的实际电磁转矩。,motor_torque_actual,N*m,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0021 | SIM-L2-0022,CG_65E377DBF988541FA5778D1E | CG_D4DF5719633CB5B375F35094,BR-SIG-001,RESOLVED
EV::L2_5300::out_omega_motor,L2_5300,L2_5300.p_5311_rp_97eb613c06ae1b2e,out_omega_motor,Host mechanical angular speed sampled by sensor leaf 3644.,omega_motor,rad/s,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0065,CG_07AF42BFA3927EF22F7BDDE7,BR-PHY-005-TAP,RESOLVED
EV::L2_7100::out_main_reservoir_pressure,L2_7100,L2_7100.p_7142_rp_52f3b82b80918b84,out_main_reservoir_pressure,总风管压力传感器输出。,main_reservoir_pressure,Pa,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0023,CG_739E53DD845C8CD2646C8E39,BR-SIG-001,RESOLVED
EV::L2_7200::in_achieved_dynamic_brake_force,L2_7200,L2_7200.p_7211_rp_179bcc3fb8dacbbf,in_achieved_dynamic_brake_force,牵引电制动通道实际实现的列车等效动态制动力。,achieved_dynamic_brake_force,N,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0034,CG_E8DAA56D71F2BE4B5E1C9BBF,BR-SIG-001,RESOLVED
EV::L2_7200::in_available_dynamic_brake_force,L2_7200,L2_7200.p_7211_rp_e4d6047a07b1416e,in_available_dynamic_brake_force,当前速度、电压、黏着、温度和故障条件下动态制动可提供的最大列车等效制动力。,available_dynamic_brake_force,N,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0033,CG_BEDE0932E86628B2EFCA8CCD,BR-SIG-001,RESOLVED
EV::L2_7200::in_brake_cylinder_pressure,L2_7200,L2_7200.p_7211_rp_f786158194c89c8a,in_brake_cylinder_pressure,摩擦制动执行通道的制动缸/夹钳驱动压力。,brake_cylinder_pressure,Pa,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0036,CG_1AEA8B915E14A5D0FFEE30D9,BR-SIG-001,RESOLVED
EV::L2_7200::in_brake_safety_loop_state,L2_7200,L2_7200.p_7211_rp_daaf414c1711f2bd,in_brake_safety_loop_state,制动安全回路状态。,brake_safety_loop_state,1,Int32,input,discrete,Inport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,"Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1. | Legacy Mapping_Status=REVIEW_REQUIRED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0038,CG_CE151D40A2BF816F41762F4C,BR-SIG-001,RESOLVED
EV::L2_7200::in_dynamic_brake_availability,L2_7200,L2_7200.p_7211_rp_d26568a796272d7a,in_dynamic_brake_availability,动态制动通道是否可用于当前制动力分配。,dynamic_brake_availability,1,Boolean,input,discrete,Inport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1.,SIM-L2-0037,CG_1ACF37CC65D3FF235E8BD75C,BR-SIG-001,RESOLVED
EV::L2_7200::in_emergency_brake_request,L2_7200,L2_7200.p_7211_rp_faa6c7c9931b0a58 | L2_7200.p_7226_rp_5f6a9d81cebde2d3,in_emergency_brake_request,触发紧急制动的有效请求。,emergency_brake_request,1,Boolean,input,discrete,Inport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1.,SIM-L2-0031,CG_071B7693DAFA8B87ADA0A61E | CG_4163C3EB1F2D16B7AFCB21C9,BR-SIG-001,RESOLVED
EV::L2_7200::in_main_reservoir_pressure,L2_7200,L2_7200.p_7211_rp_04cfaf63bfa3ed70,in_main_reservoir_pressure,总风管压力传感器输出。,main_reservoir_pressure,Pa,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0035,CG_A0B82CF482DDFB4553F8CFCA,BR-SIG-001,RESOLVED
EV::L2_7200::in_omega_wheel,L2_7200,L2_7200.p_7254_rp_d9511ef0fa1c17df,in_omega_wheel,Wheel/disc angular speed feedback.,omega_wheel,rad/s,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0089,CG_DA869E241F8A36DBAAC07E48,BR-PHY-007-FRICTION,RESOLVED
EV::L2_7200::in_safety_brake_request,L2_7200,L2_7200.p_7211_rp_da3049ae66223d22,in_safety_brake_request,"来自ATP/安全回路等外部安全功能的制动请求,进入EBCU后映射为服务或紧急制动。",safety_brake_request,1,Int32,input,discrete,Inport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1.,SIM-L2-0032,CG_ED49C68C1459BB1005D412BB,BR-SIG-001,RESOLVED
EV::L2_7200::in_service_brake_request,L2_7200,L2_7200.p_7211_rp_77afbfa330bfb95e,in_service_brake_request,"服务制动需求;可采用归一化请求或减速度请求,工程中必须在接口处固定一种语义。",service_brake_request,1 或 m/s2,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"Legacy Mapping_Status=REVIEW_REQUIRED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0030,CG_979C19823B520B68E370ECB6,BR-SIG-001,RESOLVED
EV::L2_7200::out_T_brake,L2_7200,L2_7200.p_7254_rp_d9511ef0fa1c17df,out_T_brake,Equivalent friction braking torque.,T_brake,N*m,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0088,CG_DA869E241F8A36DBAAC07E48,BR-PHY-007-FRICTION,RESOLVED
EV::L2_7200::out_brake_availability,L2_7200,L2_7200.p_7211_rp_c021f63639408eff,out_brake_availability,制动控制/执行系统是否具备请求的制动能力。,brake_availability,1,Boolean,output,discrete,Outport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1.,SIM-L2-0026,CG_1102EBD35D52A38B96D5D2E7 | CG_944069F2CBBFA2A01274A9DB,BR-SIG-001,RESOLVED
EV::L2_7200::out_brake_cylinder_pressure,L2_7200,L2_7200.p_722B_rp_8d219d5375ded80b,out_brake_cylinder_pressure,摩擦制动执行通道的制动缸/夹钳驱动压力。,brake_cylinder_pressure,Pa,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0025,CG_E9224B53F74EDFCCFDA0FC70,BR-SIG-001,RESOLVED
EV::L2_7200::out_dynamic_brake_force_request,L2_7200,L2_7200.p_7211_rp_0194ebfed505dfb5,out_dynamic_brake_force_request,分配给牵引电制动通道的动态制动力请求。,dynamic_brake_force_request,N,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0024,CG_B251741505CB19FE47559F29,BR-SIG-001,RESOLVED
EV::L2_8100::in_brake_availability,L2_8100,L2_8100.p_8121_rp_1c14ea3cdc439198 | L2_8100.p_8122_rp_b1fb8856841fb7cf,in_brake_availability,制动控制/执行系统是否具备请求的制动能力。,brake_availability,1,Boolean,input,discrete,Inport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1.,SIM-L2-0026,CG_1102EBD35D52A38B96D5D2E7 | CG_944069F2CBBFA2A01274A9DB,BR-SIG-001,RESOLVED
EV::L2_8100::in_brake_cylinder_pressure,L2_8100,L2_8100.p_8128_rp_cc7a917501039195,in_brake_cylinder_pressure,摩擦制动执行通道的制动缸/夹钳驱动压力。,brake_cylinder_pressure,Pa,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0025,CG_E9224B53F74EDFCCFDA0FC70,BR-SIG-001,RESOLVED
EV::L2_8100::in_brake_resistor_dissipated_power,L2_8100,L2_8100.p_8122_rp_dae173a1561f3f35,in_brake_resistor_dissipated_power,制动电阻实际耗散功率。,brake_resistor_dissipated_power,W,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0014,CG_A35E2178763C6233BE73AA36,BR-SIG-001,RESOLVED
EV::L2_8100::in_dc_link_current,L2_8100,L2_8100.p_8166_rp_3b0068559b0ca1e4,in_dc_link_current,中间直流环节电流或等效净电流。,dc_link_current,A,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0017,CG_4E4C49F08CEE642A5C3C67EB,BR-SIG-001,RESOLVED
EV::L2_8100::in_dc_link_voltage,L2_8100,L2_8100.p_8122_rp_361eac651ec9fd05 | L2_8100.p_8125_rp_7262595caaf3b8d8 | L2_8100.p_8166_rp_54d624d57f57843b,in_dc_link_voltage,牵引变流器中间直流环节的电压。,dc_link_voltage,V,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0016,CG_732BB9F5922B7AC9420BB2D0 | CG_A424455519797490E4F865AA | CG_C8FE042475056BF85CFA2B40,BR-SIG-001,RESOLVED
EV::L2_8100::in_dcdc_actual_power,L2_8100,L2_8100.p_8122_rp_e1808e35289aaba6,in_dcdc_actual_power,双向DC/DC实际向储能侧或母线侧传递的功率。,dcdc_actual_power,W,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0054,CG_A6D783BBFCF6C6DA11FFCF2D,BR-SIG-001,RESOLVED
EV::L2_8100::in_dynamic_brake_force_request,L2_8100,L2_8100.p_8125_rp_d69905c106b65d8f,in_dynamic_brake_force_request,分配给牵引电制动通道的动态制动力请求。,dynamic_brake_force_request,N,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0024,CG_B251741505CB19FE47559F29,BR-SIG-001,RESOLVED
EV::L2_8100::in_emergency_brake_request,L2_8100,L2_8100.p_8121_rp_1e34bb2697325127 | L2_8100.p_8152_rp_93024c6ed1623fbd,in_emergency_brake_request,触发紧急制动的有效请求。,emergency_brake_request,1,Boolean,input,discrete,Inport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1.,SIM-L2-0047,CG_663CDC611495882DCD3E5B8F | CG_8EED0159D22D9EDC70A9EA67,BR-SIG-001,RESOLVED
EV::L2_8100::in_ess_absorbed_power,L2_8100,L2_8100.p_8122_rp_a095b9b42ab5cc7d,in_ess_absorbed_power,超级电容储能支路实际吸收的再生功率。,ess_absorbed_power,W,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0050,CG_093EFCE58F3AB220CFEC48AC,BR-SIG-001,RESOLVED
EV::L2_8100::in_ess_availability,L2_8100,L2_8100.p_8122_rp_1967a947dd39d4a5,in_ess_availability,储能支路是否可以接受或释放功率。,ess_availability,1,Boolean,input,discrete,Inport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1.,SIM-L2-0055,CG_C03EBDD9B3CFF4E6611E41A1,BR-SIG-001,RESOLVED
EV::L2_8100::in_ess_available_charge_power,L2_8100,L2_8100.p_8122_rp_8c3ed075d33335e8,in_ess_available_charge_power,由超级电容SOC、电压、温度、DC/DC能力和保护状态计算的最大允许吸收功率。,ess_available_charge_power,W,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0051,CG_CB302083C9F33A1345D9C406,BR-SIG-001,RESOLVED
EV::L2_8100::in_ess_available_discharge_power,L2_8100,L2_8100.p_8122_rp_35b0ef67b409e840,in_ess_available_discharge_power,储能支路当前最大允许释放功率。,ess_available_discharge_power,W,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0052,CG_DAF7D43DDD825831F29A70F8,BR-SIG-001,RESOLVED
EV::L2_8100::in_ess_fault,L2_8100,L2_8100.p_8122_rp_9d3500c169fe7103,in_ess_fault,储能支路故障集合。,ess_fault,1,Int32,input,discrete,Inport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,"Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1. | Legacy Mapping_Status=REVIEW_REQUIRED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0056,CG_C113ED5B462ACDD4ACE56E91,BR-SIG-001,RESOLVED
EV::L2_8100::in_external_safety_system_state,L2_8100,L2_8100.p_8127_rp_a916a9847aeadebb | L2_8100.p_8128_rp_ce6397cb7b81dd94,in_external_safety_system_state,ATP等外部安全系统提供的运行/制动相关状态。,external_safety_system_state,1,Int32,input,discrete,Inport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,"Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1. | Legacy Mapping_Status=REVIEW_REQUIRED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0049,CG_0D68248E62957CCB92C5A2A5 | CG_89318B491DF9CED18997C36D,BR-SIG-001,RESOLVED
EV::L2_8100::in_grid_acceptable_regenerative_power,L2_8100,L2_8100.p_8122_rp_abc36140248d0eef | L2_8100.p_8125_rp_1809c94f1581c7f8,in_grid_acceptable_regenerative_power,外部供电网络在当前状态下允许车辆回馈的最大再生功率。,grid_acceptable_regenerative_power,W,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0015,CG_08375F15DCE75E45D4C45CE8 | CG_BDD8747118488C9BE895D95F,BR-SIG-001,RESOLVED
EV::L2_8100::in_grid_returned_power,L2_8100,L2_8100.p_8122_rp_eb1cf5594b5796be,in_grid_returned_power,实际回馈至外部供电网络的电功率。,grid_returned_power,W,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0013,CG_B399D92EE15558C08A95FA03,BR-SIG-001,RESOLVED
EV::L2_8100::in_hv_breaker_command,L2_8100,L2_8100.p_8151_rp_d7d7f4cb9554ff03,in_hv_breaker_command,高压断路器分/合控制请求。,hv_breaker_command,1,Int32,input,discrete,Inport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1.,SIM-L2-0008,CG_9ACDE46A41EE650430438B91,BR-SIG-001,RESOLVED
